approach,kind,cv_roc_auc,cv_roc_auc_std,cv_accuracy,test_roc_auc,test_accuracy,test_recall,test_specificity,test_f1
Stacking Ensemble,machine learning,0.9528160919540231,0.024568999469092682,0.8982558139534884,0.9452054794520548,0.926605504587156,0.8333333333333334,0.9726027397260274,0.8823529411764706
Random Forest,machine learning,0.9511494252873562,0.025300174816024576,0.8913847780126851,0.9452054794520548,0.9174311926605505,0.8333333333333334,0.958904109589041,0.8695652173913043
CatBoost,machine learning,0.9502216748768472,0.026194878176015048,0.8958773784355181,0.9585235920852359,0.9357798165137615,0.8888888888888888,0.958904109589041,0.9014084507042254
XGBoost,machine learning,0.9458949096880132,0.02430671083706061,0.8890063424947146,0.954337899543379,0.926605504587156,0.8611111111111112,0.958904109589041,0.8857142857142857
Gaussian NB,machine learning,0.9457471264367815,0.03359552942005224,0.8729386892177591,0.9467275494672754,0.908256880733945,0.9166666666666666,0.9041095890410958,0.868421052631579
Logistic Regression,machine learning,0.9454597701149426,0.029913239612499313,0.8936575052854122,0.9482496194824962,0.908256880733945,0.8888888888888888,0.9178082191780822,0.8648648648648649
Elastic-Net LR,machine learning,0.9449178981937603,0.03261007780183717,0.9029598308668076,0.9493911719939118,0.9174311926605505,0.8888888888888888,0.9315068493150684,0.8767123287671232
SVM (RBF),machine learning,0.9423645320197045,0.025455903014159426,0.8799154334038055,0.9440639269406392,0.8990825688073395,0.8055555555555556,0.9452054794520548,0.8405797101449275
KNN,machine learning,0.9253735632183908,0.041864951808992815,0.8775369978858351,0.9398782343987824,0.8532110091743119,0.7777777777777778,0.8904109589041096,0.7777777777777778
Rotterdam rule (follicles >= 12),clinical rule,0.9029105090311986,0.042215062829622674,0.8242600422832981,0.8759512937595129,0.8623853211009175,0.6111111111111112,0.9863013698630136,0.7457627118644068
Follicle threshold (tuned),clinical rule,0.9029105090311986,0.042215062829622674,0.8588266384778013,0.8759512937595129,0.8348623853211009,0.7222222222222222,0.8904109589041096,0.7428571428571429
Logistic on follicle count,clinical rule,0.8901724137931033,0.044478619242346605,0.835782241014799,0.8751902587519026,0.8440366972477065,0.75,0.8904109589041096,0.7605633802816901
Decision tree (depth 2),clinical rule,0.8691502463054188,0.04047229857187141,0.7871035940803383,0.9065829528158295,0.8623853211009175,0.5833333333333334,1.0,0.7368421052631579
Symptom count (tuned k),clinical rule,0.8557266009852217,0.08611055929553199,0.8217758985200845,0.8700532724505328,0.8348623853211009,0.8055555555555556,0.8493150684931506,0.7631578947368421
Majority class,clinical rule,0.5,0.0,0.6736257928118393,0.5,0.6697247706422018,0.0,1.0,0.0
