feature_set,model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,roc_auc,roc_auc_std,fit_time_s
all,Random Forest,0.8959302325581395,0.04028195045269555,0.8697290640394089,0.04938118978845774,0.8827466977466976,0.07948855318306139,0.7942857142857143,0.09284615319583954,0.8316400773971988,0.06915432936724908,0.9515270935960591,0.027850868972559655,0.8314910650253295
all,Stacking Ensemble,0.8798625792811838,0.04881274956516364,0.8595648604269293,0.05507838390930404,0.8294027541086365,0.08272442517875728,0.8014285714285714,0.08316445473044505,0.8132772093806576,0.075350273832073,0.9459195402298851,0.029850212683890872,6.4374748229980465
all,CatBoost,0.8913319238900634,0.05165240625706914,0.8752791461412152,0.053963044012997716,0.8436141636141634,0.10019183744224197,0.8295238095238094,0.07327146431587946,0.8343629422939767,0.07711839760383411,0.944646962233169,0.0279048036464987,0.7651827812194825
all,XGBoost,0.875105708245243,0.057711304915369105,0.8576683087027913,0.06569458201955668,0.8137124279229543,0.09626204248605928,0.8080952380952381,0.10177673310418518,0.8083505371497258,0.0909727146377789,0.9372988505747125,0.027552858537532265,0.3305136919021606
all,Elastic-Net LR,0.8636892177589852,0.05645377018416775,0.8605418719211823,0.05549898948601053,0.767233893557423,0.10350797767771387,0.8514285714285714,0.05792324266489514,0.8055904856071707,0.07780964149444108,0.9301231527093595,0.035724654516573966,0.20394036769866944
all,SVM (RBF),0.8613636363636363,0.05205637391945307,0.8366502463054187,0.053943113524451684,0.81142964878259,0.10863804986361306,0.7657142857142858,0.07907630001770312,0.7842456249719877,0.07660613149181839,0.9274220032840722,0.03925496769586858,0.06263272762298584
all,Logistic Regression,0.8543340380549683,0.04698978226422949,0.853407224958949,0.04733772927563061,0.7443055555555557,0.07564122460238841,0.8509523809523809,0.05021721525018084,0.793545016348131,0.06368868020369,0.9250246305418719,0.037238193566083315,0.045757412910461426
all,KNN,0.7687103594080338,0.06323579970763707,0.7877011494252875,0.06531617232199768,0.6086750700280114,0.07616685883865791,0.8433333333333334,0.08968197780411148,0.7053618866901599,0.07500274561861799,0.8901642036124795,0.073760381528387,0.03115379810333252
all,Gaussian NB,0.5621564482029597,0.09585563993170464,0.6562972085385879,0.08286802600104992,0.4289277756557168,0.06659877154682285,0.9285714285714285,0.08451542547285165,0.5844912276486355,0.0696363733524351,0.854975369458128,0.0944894432462699,0.03208527565002441
correlation,Stacking Ensemble,0.8982558139534884,0.040181127896486805,0.8855172413793102,0.041206211955363656,0.8518702865761689,0.08919598263595381,0.85,0.08112726208286106,0.8460143613647506,0.057571080712080766,0.9528160919540231,0.024568999469092682,5.502841162681579
correlation,Random Forest,0.8913847780126851,0.03963653960964133,0.8695566502463054,0.039353200284632996,0.8654907373328428,0.10262323807745424,0.8076190476190476,0.07259991941675781,0.830397346324324,0.058110691135788775,0.9511494252873562,0.025300174816024576,0.7530125856399537
correlation,CatBoost,0.8958773784355181,0.049988377446725664,0.884031198686371,0.0524802330084878,0.8449525255446307,0.10916776214673816,0.8504761904761905,0.0815996531938742,0.8435400350532196,0.07422090019546061,0.9502216748768472,0.026194878176015048,0.3828054666519165
correlation,XGBoost,0.8890063424947146,0.047075194219965755,0.8696798029556649,0.05201959105098688,0.8545500113921166,0.1082922948866075,0.8147619047619047,0.09746096375360912,0.8275332844602621,0.07413179171253678,0.9458949096880132,0.02430671083706061,0.18358871936798096
correlation,Gaussian NB,0.8729386892177591,0.06003642067081355,0.866847290640394,0.06331272470459869,0.7879999167499167,0.09507869669545672,0.8504761904761905,0.09327014381832568,0.8151356282390765,0.08250352654238342,0.9457471264367815,0.03359552942005224,0.04653401374816894
correlation,Logistic Regression,0.8936575052854122,0.04508044589304446,0.8932101806239737,0.04583630018995314,0.8096626984126984,0.08951865776927906,0.8928571428571427,0.0658538889806635,0.8469223225688743,0.0651492328819443,0.9454597701149426,0.029913239612499313,0.04429619312286377
correlation,Elastic-Net LR,0.9029598308668076,0.039300301207834044,0.9001067323481114,0.042101099370553396,0.8289285714285715,0.07750320013874287,0.8928571428571427,0.0658538889806635,0.8578069695311076,0.05880972649430745,0.9449178981937603,0.03261007780183717,0.05039284229278564
correlation,SVM (RBF),0.8799154334038055,0.05278949537231539,0.868440065681445,0.054850227762349615,0.8188317564788153,0.10841834838630193,0.836190476190476,0.09656692015399068,0.820745224988829,0.07481257341388754,0.9423645320197045,0.025455903014159426,0.06440119743347168
correlation,KNN,0.8775369978858351,0.048012988707667216,0.8738095238095239,0.05001516429026565,0.7931146631146632,0.09755265032186484,0.8642857142857142,0.08718968296952645,0.8227212400919297,0.06860796579577552,0.9253735632183908,0.041864951808992815,0.04392516613006592
chi2,Stacking Ensemble,0.9052854122621564,0.03587996965779596,0.8911658456486042,0.03513973036810857,0.8644566544566544,0.07544296117293839,0.8509523809523809,0.05021721525018084,0.8555993814614504,0.04985378097121058,0.9513300492610839,0.029180067675673164,5.369923853874207
chi2,Random Forest,0.9029069767441861,0.033662765386772445,0.8783579638752054,0.0406340443862783,0.8919834087481145,0.07402940228052617,0.8080952380952381,0.07922670476739088,0.8439943756754102,0.05486514415876182,0.9495648604269293,0.029121316239213175,0.781629991531372
chi2,Gaussian NB,0.8682346723044396,0.048065325230805984,0.8634564860426931,0.046946907629450314,0.7798749616396675,0.08949318922987118,0.8504761904761905,0.07508725083591247,0.8099810988089631,0.06364708585197708,0.9488259441707718,0.03185440152657767,0.036863160133361814
chi2,Elastic-Net LR,0.8937103594080338,0.043575940320450805,0.8878489326765189,0.042144961219030594,0.8237820512820513,0.08455966601811624,0.8719047619047618,0.06272171558114606,0.8444061302681993,0.05907694234061882,0.9454761904761904,0.028900219479838465,0.040492892265319824
chi2,Logistic Regression,0.8867864693446089,0.046228356108668274,0.8827339901477833,0.044091544949116455,0.8087645442792499,0.09177191617854627,0.8719047619047618,0.06272171558114606,0.8361424510479016,0.06273618501480498,0.9442775041050903,0.029059958384267316,0.03665540218353271
chi2,CatBoost,0.8889534883720931,0.026772008775074244,0.8717651888341544,0.02863101881747564,0.8414576599870717,0.06910567181631506,0.8223809523809524,0.05824531746675196,0.8289744195264216,0.04019168492365236,0.9421510673234812,0.02977134667056646,0.29620985984802245
chi2,XGBoost,0.8798097251585624,0.041863801733466884,0.8593267651888341,0.03966088683172153,0.8376085318190581,0.09601596708455581,0.800952380952381,0.06320251437347449,0.8148560597242138,0.05801202420974132,0.9416830870279146,0.029908371831147928,0.1488485336303711
chi2,SVM (RBF),0.8891120507399577,0.04038124148483697,0.8720032840722496,0.041299232469901796,0.8407897004955828,0.07786848758947189,0.8228571428571427,0.056856424977521136,0.8300256129566475,0.05794331216012387,0.941584564860427,0.03278939441244854,0.0548184871673584
chi2,KNN,0.8731501057082452,0.06257579914316944,0.8642775041050903,0.06280967886500374,0.800774518309348,0.11653431795017112,0.838095238095238,0.08571428571428573,0.8145583960800868,0.0835197290645883,0.937816091954023,0.04592686099012393,0.034627461433410646
rfe,Random Forest,0.8913847780126851,0.04584939009472382,0.873431855500821,0.04800775893729372,0.8495565837671102,0.0894314014193594,0.8223809523809523,0.07371114795831994,0.8328689153232764,0.06690787664005084,0.9468062397372743,0.029495431263711163,0.8545533180236816
rfe,Stacking Ensemble,0.9076109936575053,0.036659430467384645,0.8963464696223318,0.03430524034420352,0.8645283882783883,0.08608039136152087,0.8647619047619047,0.0598637909707342,0.8609770816667369,0.049884798494590786,0.9450738916256156,0.032255562638474705,5.318602442741394
rfe,Elastic-Net LR,0.8867864693446089,0.058609383436819075,0.8847619047619049,0.05481733174294264,0.8058646616541353,0.10537747943031096,0.8795238095238096,0.05549407028444297,0.8387453887859568,0.07642302641270005,0.9417816091954023,0.03401465942295117,0.13450970649719238
rfe,XGBoost,0.9029598308668076,0.04328826857260438,0.8889655172413793,0.04599634826775701,0.8662448662448663,0.09825336452120928,0.85,0.09285714285714286,0.8519093406593408,0.06467501346854664,0.9411822660098522,0.034745173995465985,0.20800650119781494
rfe,SVM (RBF),0.8890063424947146,0.04466407915078855,0.8825533661740558,0.04361719404577549,0.8165064102564102,0.08974579324217924,0.8647619047619047,0.0598637909707342,0.8374712643678162,0.06211993030337118,0.940016420361248,0.037488375197816934,0.13512711524963378
rfe,CatBoost,0.9097780126849895,0.04452064984962043,0.895927750410509,0.05034306019731996,0.8735764235764236,0.09027266221707954,0.8571428571428571,0.09035079029052512,0.8612389092389092,0.07047736622653311,0.9379392446633826,0.03629621312642843,0.32588801383972166
