seed,model,roc_auc
0,Logistic Regression,0.9444444444444444
0,Random Forest,0.9592846270928463
0,SVM (RBF),0.9372146118721462
0,XGBoost,0.9463470319634704
0,Elastic-Net LR,0.9467275494672756
0,Gaussian NB,0.9375951293759512
0,KNN,0.9090563165905633
0,CatBoost,0.9589041095890412
0,Stacking Ensemble,0.9520547945205479
1,Logistic Regression,0.978310502283105
1,Random Forest,0.9851598173515982
1,SVM (RBF),0.9821156773211568
1,XGBoost,0.9817351598173516
1,Elastic-Net LR,0.978310502283105
1,Gaussian NB,0.9714611872146119
1,KNN,0.9758371385083715
1,CatBoost,0.9874429223744292
1,Stacking Ensemble,0.9855403348554034
2,Logistic Regression,0.9851598173515983
2,Random Forest,0.9824961948249619
2,SVM (RBF),0.9836377473363775
2,XGBoost,0.9790715372907153
2,Elastic-Net LR,0.9863013698630138
2,Gaussian NB,0.980593607305936
2,KNN,0.9775494672754947
2,CatBoost,0.987062404870624
2,Stacking Ensemble,0.9840182648401826
3,Logistic Regression,0.9634703196347032
3,Random Forest,0.9729832572298326
3,SVM (RBF),0.9687975646879756
3,XGBoost,0.9661339421613393
3,Elastic-Net LR,0.9661339421613395
3,Gaussian NB,0.9657534246575342
3,KNN,0.9558599695585996
3,CatBoost,0.9714611872146119
3,Stacking Ensemble,0.974124809741248
4,Logistic Regression,0.9459665144596652
4,Random Forest,0.9478691019786911
4,SVM (RBF),0.9356925418569254
4,XGBoost,0.9360730593607306
4,Elastic-Net LR,0.94558599695586
4,Gaussian NB,0.9254185692541856
4,KNN,0.9364535768645357
4,CatBoost,0.941400304414003
4,Stacking Ensemble,0.94558599695586
5,Logistic Regression,0.9493911719939117
5,Random Forest,0.9638508371385084
5,SVM (RBF),0.9573820395738204
5,XGBoost,0.9604261796042617
5,Elastic-Net LR,0.952054794520548
5,Gaussian NB,0.96765601217656
5,KNN,0.9615677321156773
5,CatBoost,0.9634703196347032
5,Stacking Ensemble,0.964992389649924
6,Logistic Regression,0.8679604261796043
6,Random Forest,0.8964992389649924
6,SVM (RBF),0.8710045662100456
6,XGBoost,0.9037290715372908
6,Elastic-Net LR,0.8732876712328768
6,Gaussian NB,0.9216133942161339
6,KNN,0.8554033485540334
6,CatBoost,0.8900304414003044
6,Stacking Ensemble,0.8953576864535768
7,Logistic Regression,0.9615677321156774
7,Random Forest,0.9661339421613394
7,SVM (RBF),0.9509132420091324
7,XGBoost,0.9638508371385084
7,Elastic-Net LR,0.9611872146118722
7,Gaussian NB,0.9638508371385084
7,KNN,0.946917808219178
7,CatBoost,0.9627092846270928
7,Stacking Ensemble,0.964992389649924
8,Logistic Regression,0.9208523592085237
8,Random Forest,0.9231354642313546
8,SVM (RBF),0.8995433789954338
8,XGBoost,0.9334094368340944
8,Elastic-Net LR,0.9235159817351598
8,Gaussian NB,0.9421613394216134
8,KNN,0.9094368340943684
8,CatBoost,0.9250380517503806
8,Stacking Ensemble,0.9212328767123288
9,Logistic Regression,0.9273211567732116
9,Random Forest,0.939117199391172
9,SVM (RBF),0.9261796042617961
9,XGBoost,0.9337899543378995
9,Elastic-Net LR,0.9277016742770167
9,Gaussian NB,0.9394977168949771
9,KNN,0.9193302891933028
9,CatBoost,0.930365296803653
9,Stacking Ensemble,0.9356925418569254
10,Logistic Regression,0.9433028919330289
10,Random Forest,0.9623287671232877
10,SVM (RBF),0.9452054794520548
10,XGBoost,0.9592846270928462
10,Elastic-Net LR,0.9440639269406392
10,Gaussian NB,0.9197108066971081
10,KNN,0.9379756468797564
10,CatBoost,0.9516742770167427
10,Stacking Ensemble,0.9581430745814308
11,Logistic Regression,0.9528158295281584
11,Random Forest,0.9592846270928462
11,SVM (RBF),0.9379756468797564
11,XGBoost,0.9638508371385084
11,Elastic-Net LR,0.9531963470319634
11,Gaussian NB,0.94558599695586
11,KNN,0.924847792998478
11,CatBoost,0.9615677321156774
11,Stacking Ensemble,0.95662100456621
12,Logistic Regression,0.9326484018264839
12,Random Forest,0.9512937595129376
12,SVM (RBF),0.9273211567732116
12,XGBoost,0.9550989345509894
12,Elastic-Net LR,0.9318873668188737
12,Gaussian NB,0.9463470319634704
12,KNN,0.9425418569254187
12,CatBoost,0.94558599695586
12,Stacking Ensemble,0.950152207001522
13,Logistic Regression,0.9581430745814308
13,Random Forest,0.9627092846270928
13,SVM (RBF),0.943683409436834
13,XGBoost,0.9668949771689498
13,Elastic-Net LR,0.9581430745814308
13,Gaussian NB,0.8786149162861492
13,KNN,0.931316590563166
13,CatBoost,0.960806697108067
13,Stacking Ensemble,0.963089802130898
14,Logistic Regression,0.9311263318112633
14,Random Forest,0.9372146118721462
14,SVM (RBF),0.9493911719939118
14,XGBoost,0.936834094368341
14,Elastic-Net LR,0.9307458143074582
14,Gaussian NB,0.9322678843226789
14,KNN,0.9368340943683409
14,CatBoost,0.94558599695586
14,Stacking Ensemble,0.9444444444444444
15,Logistic Regression,0.9592846270928463
15,Random Forest,0.9695585996955861
15,SVM (RBF),0.9687975646879757
15,XGBoost,0.9646118721461188
15,Elastic-Net LR,0.9608066971080669
15,Gaussian NB,0.9421613394216133
15,KNN,0.9556697108066972
15,CatBoost,0.960806697108067
15,Stacking Ensemble,0.9726027397260274
16,Logistic Regression,0.9657534246575343
16,Random Forest,0.950152207001522
16,SVM (RBF),0.9448249619482496
16,XGBoost,0.9356925418569255
16,Elastic-Net LR,0.9672754946727551
16,Gaussian NB,0.965372907153729
16,KNN,0.922564687975647
16,CatBoost,0.9471080669710807
16,Stacking Ensemble,0.9490106544901065
17,Logistic Regression,0.9855403348554033
17,Random Forest,0.9786910197869103
17,SVM (RBF),0.9779299847792999
17,XGBoost,0.9665144596651446
17,Elastic-Net LR,0.9874429223744292
17,Gaussian NB,0.9707001522070016
17,KNN,0.9223744292237444
17,CatBoost,0.9809741248097412
17,Stacking Ensemble,0.9840182648401826
18,Logistic Regression,0.9162861491628616
18,Random Forest,0.9459665144596651
18,SVM (RBF),0.915144596651446
18,XGBoost,0.943683409436834
18,Elastic-Net LR,0.9143835616438357
18,Gaussian NB,0.9094368340943684
18,KNN,0.9349315068493151
18,CatBoost,0.9482496194824963
18,Stacking Ensemble,0.9368340943683409
19,Logistic Regression,0.9687975646879756
19,Random Forest,0.9821156773211568
19,SVM (RBF),0.9714611872146119
19,XGBoost,0.9760273972602739
19,Elastic-Net LR,0.9699391171993911
19,Gaussian NB,0.9585235920852359
19,KNN,0.9843987823439878
19,CatBoost,0.9726027397260275
19,Stacking Ensemble,0.9813546423135464
20,Logistic Regression,0.941400304414003
20,Random Forest,0.9516742770167428
20,SVM (RBF),0.9364535768645358
20,XGBoost,0.954337899543379
20,Elastic-Net LR,0.941400304414003
20,Gaussian NB,0.9657534246575342
20,KNN,0.8959284627092845
20,CatBoost,0.9516742770167428
20,Stacking Ensemble,0.947869101978691
21,Logistic Regression,0.9824961948249619
21,Random Forest,0.9752663622526636
21,SVM (RBF),0.9729832572298327
21,XGBoost,0.9786910197869103
21,Elastic-Net LR,0.982496194824962
21,Gaussian NB,0.9794520547945206
21,KNN,0.9562404870624048
21,CatBoost,0.9802130898021308
21,Stacking Ensemble,0.9821156773211568
22,Logistic Regression,0.8820395738203957
22,Random Forest,0.9082952815829528
22,SVM (RBF),0.893455098934551
22,XGBoost,0.9124809741248098
22,Elastic-Net LR,0.8831811263318112
22,Gaussian NB,0.9269406392694064
22,KNN,0.8959284627092846
22,CatBoost,0.9025875190258752
22,Stacking Ensemble,0.9018264840182649
23,Logistic Regression,0.9627092846270928
23,Random Forest,0.965372907153729
23,SVM (RBF),0.9615677321156774
23,XGBoost,0.9509132420091324
23,Elastic-Net LR,0.960806697108067
23,Gaussian NB,0.9611872146118722
23,KNN,0.928462709284627
23,CatBoost,0.9512937595129376
23,Stacking Ensemble,0.9657534246575342
24,Logistic Regression,0.9528158295281584
24,Random Forest,0.9554794520547946
