feature,mean_abs_shap,value_shap_corr,higher_value_means
Follicle count (R),0.1284255096671658,0.9155919541796349,more likely PCOS
Follicle count (L),0.09303276090837405,0.9116688339341392,more likely PCOS
Weight gain,0.06581068837016547,0.9794557348316764,more likely PCOS
Skin darkening,0.058652826872015534,0.9724565244157064,more likely PCOS
Hair growth,0.05698974424339012,0.9691256235380652,more likely PCOS
Irregular cycle,0.03751352995597169,0.9502541239914029,more likely PCOS
Fast food,0.03638131460182721,0.9643287771826212,more likely PCOS
Cycle length (days),0.03095258139320284,-0.7387108742185421,less likely PCOS
Pimples,0.02022703909038201,0.9571356635726056,more likely PCOS
AMH,0.017890554535410875,0.8474021290087032,more likely PCOS
Age (yrs),0.009850851881994888,-0.8830936546659263,less likely PCOS
Avg follicle size (L),0.00916973575893952,0.8375135654724798,more likely PCOS
Hair loss,0.009002935593394554,0.9443368125477134,more likely PCOS
Weight (kg),0.008594435026669518,0.8225308012978799,more likely PCOS
Avg follicle size (R),0.007743389253786179,0.8512514301046825,more likely PCOS
Years married,0.007048278080361471,-0.7225308009022222,less likely PCOS
Endometrium (mm),0.006696657996442556,0.8383944814250918,more likely PCOS
LH,0.005666995872203257,0.2168948269441565,more likely PCOS
Waist (in),0.005492872617224449,0.8750561499140006,more likely PCOS
Pulse rate (bpm),0.005028551196157114,0.7984923820979516,more likely PCOS
