feature,mean_no_pcos,mean_pcos,std_no_pcos,std_pcos,cohens_d
Follicle count (R),4.637,10.763,2.926,4.166,1.702
Follicle count (L),4.352,9.785,2.814,4.309,1.493
Skin darkening,0.154,0.621,0.361,0.486,1.091
Hair growth,0.129,0.571,0.336,0.496,1.042
Weight gain,0.228,0.684,0.42,0.466,1.026
Fast food,0.383,0.785,0.487,0.412,0.893
Irregular cycle,0.154,0.534,0.361,0.5,0.871
Pimples,0.39,0.695,0.488,0.462,0.641
AMH,4.541,7.845,4.291,7.791,0.525
Weight (kg),58.009,62.986,10.047,12.175,0.446
BMI,23.747,25.471,3.759,4.396,0.421
Cycle length (days),5.14,4.559,1.237,1.821,-0.373
Hair loss,0.393,0.576,0.489,0.496,0.373
Age (yrs),32.066,30.124,5.361,5.292,-0.365
Waist (in),33.429,34.689,3.446,3.758,0.35
Hip (in),37.544,38.915,3.78,4.191,0.344
Avg follicle size (L),14.688,15.698,3.87,2.731,0.302
Years married,8.058,6.902,4.816,4.697,-0.243
Endometrium (mm),8.361,8.807,2.178,1.924,0.217
Pulse rate (bpm),72.964,73.831,5.033,2.731,0.214
Avg follicle size (R),15.226,15.916,3.406,3.089,0.212
Haemoglobin (g/dl),11.107,11.268,0.88,0.831,0.188
Vitamin D3,29.295,92.323,12.376,603.941,0.148
Height (cm),156.198,157.075,5.95,6.177,0.145
Regular exercise,0.228,0.288,0.42,0.454,0.137
No. of abortions,0.316,0.232,0.751,0.551,-0.128
LH,2.613,14.402,2.104,151.479,0.11
Progesterone,0.727,0.372,4.64,0.174,-0.108
Random blood sugar,99.203,101.137,15.504,23.633,0.097
BP diastolic,76.78,77.232,6.033,4.487,0.085
Respiratory rate,19.201,19.333,1.709,1.647,0.079
Blood Group,13.755,13.898,1.824,1.877,0.077
FSH,19.186,5.175,264.544,5.745,-0.075
beta-HCG I,728.982,532.043,3539.636,2922.864,-0.061
Pregnant,0.39,0.362,0.488,0.482,-0.059
FSH/LH ratio,7.68,5.31,71.932,25.023,-0.044
beta-HCG II,223.975,269.063,1437.024,1911.039,0.027
Waist:hip ratio,0.891,0.893,0.046,0.046,0.026
TSH,3.008,2.927,4.137,2.823,-0.023
BP systolic,114.621,114.746,8.103,5.648,0.018
Prolactin,24.268,24.432,15.488,13.887,0.011
