threshold,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity
0.05,0.5412844036697247,0.4186046511627907,1.0,0.5901639344262295,23,50,0,36,0.3150684931506849
0.1,0.6330275229357798,0.4722222222222222,0.9444444444444444,0.6296296296296297,35,38,2,34,0.4794520547945205
0.15,0.7339449541284404,0.5573770491803278,0.9444444444444444,0.7010309278350515,46,27,2,34,0.6301369863013698
0.2,0.7614678899082569,0.5892857142857143,0.9166666666666666,0.717391304347826,50,23,3,33,0.684931506849315
0.25,0.8256880733944955,0.673469387755102,0.9166666666666666,0.7764705882352941,57,16,3,33,0.7808219178082192
0.3,0.8440366972477065,0.7111111111111111,0.8888888888888888,0.7901234567901234,60,13,4,32,0.821917808219178
0.35,0.8623853211009175,0.7560975609756098,0.8611111111111112,0.8051948051948052,63,10,5,31,0.863013698630137
0.4,0.8715596330275229,0.7894736842105263,0.8333333333333334,0.8108108108108109,65,8,6,30,0.8904109589041096
0.45,0.8899082568807339,0.8333333333333334,0.8333333333333334,0.8333333333333334,67,6,6,30,0.9178082191780822
0.5,0.9174311926605505,0.9090909090909091,0.8333333333333334,0.8695652173913043,70,3,6,30,0.958904109589041
0.55,0.9174311926605505,0.9354838709677419,0.8055555555555556,0.8656716417910447,71,2,7,29,0.9726027397260274
0.6,0.9174311926605505,0.9354838709677419,0.8055555555555556,0.8656716417910447,71,2,7,29,0.9726027397260274
0.65,0.8990825688073395,0.9629629629629629,0.7222222222222222,0.8253968253968254,72,1,10,26,0.9863013698630136
0.7,0.8807339449541285,0.96,0.6666666666666666,0.7868852459016393,72,1,12,24,0.9863013698630136
0.75,0.8623853211009175,0.9565217391304348,0.6111111111111112,0.7457627118644068,72,1,14,22,0.9863013698630136
0.8,0.8256880733944955,1.0,0.4722222222222222,0.6415094339622641,73,0,19,17,1.0
0.85,0.8073394495412844,1.0,0.4166666666666667,0.5882352941176471,73,0,21,15,1.0
0.9,0.7798165137614679,1.0,0.3333333333333333,0.5,73,0,24,12,1.0
0.95,0.7155963302752294,1.0,0.1388888888888889,0.24390243902439024,73,0,31,5,1.0
